customer_id,gender,tenure_months,contract_type,payment_method,monthly_charges,internet_service_type,is_paperless_billing,is_churn,is_senior_citizen,has_partner,has_dependents,has_phone_service,has_multiple_lines,has_online_security,has_online_backup,has_device_protection,has_tech_support,has_streaming_tv,has_streaming_movies,total_charges,Prediccion_Churn,Probabilidad_Fuga
1567-DSCIC,Male,8,Month-to-month,Electronic check,94,Fiber optic,true,true,false,false,false,true,true,false,true,true,false,true,false,773.65,1,67.41
2683-BPJSO,Male,29,Month-to-month,Electronic check,84.45,Fiber optic,true,true,false,true,false,true,true,true,true,false,false,false,false,2467.1,1,61.06
3740-RLMVT,Male,67,One year,Bank transfer (automatic),60.95,DSL,true,false,true,true,false,true,false,true,true,false,true,false,false,4119.4,0,29.53
3284-SVCRO,Female,45,Two year,Mailed check,25.5,No,false,false,false,true,false,true,true,false,false,false,false,false,false,1121.05,0,20.66
5743-KHMNA,Male,71,Two year,Bank transfer (automatic),25.55,No,false,false,false,false,false,true,true,false,false,false,false,false,false,1898.1,0,20.66
4302-ZYFEL,Male,69,One year,Credit card (automatic),20.55,No,true,false,false,true,true,true,false,false,false,false,false,false,false,1403.1,0,27.28
1704-NRWYE,Female,9,Month-to-month,Electronic check,80.85,Fiber optic,true,true,true,false,false,true,false,false,false,false,false,true,false,751.65,1,67.41
4781-ZXYGU,Male,1,Month-to-month,Bank transfer (automatic),20.15,No,true,false,false,true,true,true,false,false,false,false,false,false,false,20.15,1,55.56
3059-NGMXB,Male,14,Month-to-month,Mailed check,69.2,DSL,false,false,false,true,true,true,true,true,true,false,false,false,true,944.65,1,51.43
6711-FLDFB,Female,7,Month-to-month,Electronic check,74.9,Fiber optic,true,true,false,false,false,true,true,false,false,false,false,false,false,541.15,1,67.41
4116-IQRFR,Male,4,One year,Credit card (automatic),24.1,No,false,false,false,true,true,true,true,false,false,false,false,false,false,73.1,0,30.79
5329-KRDTM,Male,72,Two year,Credit card (automatic),77.35,DSL,false,false,true,true,false,true,true,false,true,true,true,true,false,5396.25,0,24.44
9415-TPKRV,Female,8,Month-to-month,Electronic check,55.75,DSL,false,false,false,true,true,true,true,false,true,false,false,false,false,446.8,1,56.39
4547-KQRTM,Female,10,Month-to-month,Bank transfer (automatic),80.05,Fiber optic,true,true,false,false,false,true,true,false,true,false,false,false,false,830.7,1,66.06
2889-FPWRM,Male,72,One year,Bank transfer (automatic),117.8,Fiber optic,true,true,false,true,false,true,true,true,true,true,true,true,true,8684.8,0,43.53
8513-OLYGY,Male,72,Two year,Credit card (automatic),115.8,Fiber optic,false,false,false,true,false,true,true,true,true,true,true,true,true,8332.15,0,25.05
4760-XOHVN,Female,1,Month-to-month,Mailed check,19.45,No,false,true,false,true,true,true,false,false,false,false,false,false,false,19.45,1,55.56
0594-UFTUL,Male,13,Month-to-month,Mailed check,19.85,No,true,false,false,true,true,true,false,false,false,false,false,false,false,252,0,41.25
5176-OLSKT,Female,66,Two year,Bank transfer (automatic),66.9,DSL,false,false,false,true,false,true,true,true,true,true,false,false,false,4370.25,0,21.01
1541-ETJZO,Male,1,Month-to-month,Mailed check,62.05,DSL,false,true,false,false,false,true,true,false,false,true,true,false,false,62.05,1,61.4
2072-ZVJJX,Male,68,Two year,Bank transfer (automatic),25.25,No,false,false,false,true,false,true,true,false,false,false,false,false,false,1728.2,0,20.66
5795-BKOYE,Female,69,One year,Bank transfer (automatic),59.1,DSL,false,false,false,true,true,true,false,false,true,true,true,false,false,4134.7,0,27.7
5895-QSXOD,Male,9,Month-to-month,Mailed check,70.05,Fiber optic,false,false,false,false,false,true,false,false,false,false,false,false,false,657.5,1,66.06
5216-WASFJ,Female,31,Month-to-month,Electronic check,84.85,Fiber optic,true,false,true,true,false,true,true,false,false,false,false,false,true,2633.4,1,61.94
0366-NQSHS,Male,2,Month-to-month,Mailed check,19.35,No,false,false,false,false,false,true,false,false,false,false,false,false,false,46.35,0,45.88
5734-EJKXG,Female,61,One year,Electronic check,118.6,Fiber optic,true,false,false,false,false,true,true,true,true,true,true,true,true,7365.7,0,47.61
8144-DGHXP,Female,54,Two year,Electronic check,80.6,DSL,false,false,false,false,false,true,false,true,false,true,true,true,true,4299.95,0,24.48
6857-TKDJV,Male,67,Two year,Bank transfer (automatic),24.65,No,false,false,false,true,true,true,true,false,false,false,false,false,false,1620.45,0,20.66
2568-OIADY,Female,37,Month-to-month,Electronic check,99.5,Fiber optic,true,true,false,true,false,true,true,false,false,true,false,true,true,3762,1,61.94
5825-XJOCM,Male,48,One year,Bank transfer (automatic),64.4,DSL,true,false,false,false,true,true,true,true,true,true,false,false,false,3035.35,0,27.7
4973-RLZVI,Female,30,One year,Credit card (automatic),74.65,DSL,false,false,false,false,false,true,false,true,true,true,true,true,false,2308.6,0,27.7
2673-ZALNP,Female,7,One year,Mailed check,19.9,No,false,false,false,false,false,true,false,false,false,false,false,false,false,173.15,0,27.91
9746-MDMBK,Male,47,One year,Bank transfer (automatic),113.45,Fiber optic,true,false,false,true,true,true,true,true,true,true,true,true,true,5317.8,0,45.6
2533-TIBIX,Male,15,Month-to-month,Bank transfer (automatic),30.2,DSL,true,false,false,true,true,false,false,true,false,false,false,false,false,469.65,1,51.43
1565-RHDJD,Female,4,Month-to-month,Bank transfer (automatic),84.05,Fiber optic,false,true,false,false,true,true,true,false,true,true,false,false,false,333.55,1,69.53
5378-IKEEG,Female,1,Month-to-month,Electronic check,35.75,DSL,true,true,false,false,false,false,false,false,false,false,false,true,false,35.75,1,61.74
2718-GAXQD,Female,4,Month-to-month,Electronic check,46,DSL,false,true,true,true,true,true,false,false,false,false,false,false,false,181.6,1,60.55
7088-FBAWU,Female,17,Month-to-month,Mailed check,74.55,DSL,false,false,false,true,true,true,false,true,true,false,false,true,true,1215.8,0,46.81
4398-HSCJH,Female,3,Month-to-month,Electronic check,63.6,DSL,true,true,false,false,false,true,true,false,false,false,true,true,false,155.65,1,60.55
2197-OMWGI,Female,68,Two year,Electronic check,53,DSL,true,false,true,true,true,false,false,false,true,true,false,true,true,3656.25,0,28.28
6527-PZFPV,Male,24,One year,Credit card (automatic),20.8,No,true,false,false,true,true,true,false,false,false,false,false,false,false,469.65,0,27.28
2694-CIUMO,Female,12,Month-to-month,Credit card (automatic),79.55,Fiber optic,true,false,false,false,false,true,true,false,false,false,true,false,false,958.25,1,64.53
5360-XGYAZ,Male,72,Two year,Bank transfer (automatic),65.65,DSL,true,false,false,true,true,false,false,true,true,true,true,true,true,4664.5,0,21.01
2067-QYTCF,Female,64,Month-to-month,Electronic check,111.15,Fiber optic,true,false,false,true,false,true,true,false,true,true,true,true,true,6953.4,1,59.95
5231-FIQPA,Female,41,Two year,Mailed check,19.85,No,true,false,false,false,false,true,false,false,false,false,false,false,false,810.45,0,20.66
4608-LCIMN,Male,8,Month-to-month,Bank transfer (automatic),44.65,DSL,false,false,false,true,true,true,false,false,false,false,false,false,false,369.15,1,54.89
0916-QOFDP,Female,14,Month-to-month,Electronic check,95.8,Fiber optic,true,false,true,true,true,true,true,false,false,false,false,true,true,1346.3,1,65.9
5214-NLTIT,Male,72,Two year,Credit card (automatic),90.8,Fiber optic,true,false,false,true,true,true,true,false,false,true,false,false,true,6511.8,0,24.76
9138-EFSMO,Male,26,One year,Bank transfer (automatic),78.95,Fiber optic,false,false,false,true,true,true,false,false,false,false,false,false,true,2034.25,0,45.76
2876-VBBBL,Female,1,Month-to-month,Mailed check,20.25,No,true,true,false,false,false,true,false,false,false,false,false,false,false,20.25,1,55.56
5597-GLBUC,Female,1,Month-to-month,Electronic check,85.45,Fiber optic,true,true,false,false,false,true,false,false,false,true,false,true,false,85.45,1,70.99
1685-VAYJF,Male,11,Month-to-month,Credit card (automatic),45.2,DSL,false,false,false,false,false,true,false,false,false,false,false,false,false,492,1,51.61
8224-DWCKX,Male,12,Month-to-month,Credit card (automatic),73.3,Fiber optic,true,false,true,false,false,true,true,false,false,false,false,false,false,828.05,1,64.53
6917-IAYHD,Male,1,Month-to-month,Mailed check,33.6,DSL,false,false,false,false,true,false,false,false,true,false,true,false,false,33.6,1,61.4
4385-ZKVNW,Male,44,Month-to-month,Bank transfer (automatic),54.9,DSL,true,false,false,true,true,true,false,false,true,false,true,false,false,2549.1,0,41.6
9031-ZVQPT,Male,72,Two year,Electronic check,108.2,Fiber optic,true,false,false,true,false,true,true,false,true,true,true,true,true,7840.6,0,28.39
5176-LDKUH,Female,48,One year,Electronic check,75.15,Fiber optic,false,false,false,false,false,true,false,false,true,false,false,false,false,3772.65,0,39.63
4664-NJCMS,Female,33,Two year,Bank transfer (automatic),59.55,DSL,false,false,false,true,false,false,false,true,false,true,true,true,true,2016.3,0,21.01
2150-UWTFY,Female,22,Month-to-month,Mailed check,61.15,DSL,false,true,false,true,true,true,false,true,true,true,false,false,false,1422.05,0,43.82
5269-NRGDP,Male,42,One year,Electronic check,73.15,DSL,false,false,false,true,true,true,false,false,false,true,true,true,true,3088.25,0,38.57
2819-GWENI,Female,28,One year,Mailed check,19.9,No,false,false,false,true,true,true,false,false,false,false,false,false,false,543,0,27.28
3814-MLAXC,Female,31,Month-to-month,Credit card (automatic),79.85,Fiber optic,true,true,false,false,false,true,true,false,false,false,true,false,false,2404.15,1,57.25
2186-QZEYA,Female,29,Month-to-month,Bank transfer (automatic),58.55,DSL,true,false,true,false,false,true,true,true,true,false,false,false,false,1718.95,0,43.79
0559-CKHUS,Female,29,Two year,Mailed check,19.55,No,true,false,false,true,false,true,false,false,false,false,false,false,false,521.8,0,20.66
5599-HVLTW,Female,14,Month-to-month,Bank transfer (automatic),80.35,Fiber optic,true,false,true,false,false,true,true,false,false,true,false,false,false,1058.1,1,64.53
1101-SSWAG,Female,15,Month-to-month,Electronic check,51.1,DSL,true,false,false,true,false,true,true,false,false,false,false,false,false,711.15,1,53.12
2979-SXESE,Female,17,Month-to-month,Electronic check,94.4,Fiber optic,false,true,false,true,true,true,true,true,false,true,false,true,false,1607.2,1,62.71
0096-BXERS,Female,6,Month-to-month,Electronic check,50.35,DSL,false,false,false,true,false,true,true,false,false,false,false,false,false,314.55,1,58.24
5018-GWURO,Female,56,Month-to-month,Bank transfer (automatic),85.6,Fiber optic,true,false,false,true,false,true,true,false,false,false,false,true,false,4902.8,1,55.19
3372-CDXFJ,Male,13,One year,Bank transfer (automatic),24.5,No,false,false,false,true,true,true,true,false,false,false,false,false,false,343.6,0,27.42
2718-YSKCS,Male,71,Two year,Bank transfer (automatic),19.6,No,true,false,false,true,true,true,false,false,false,false,false,false,false,1387.45,0,20.66
6980-CDGFC,Female,67,One year,Bank transfer (automatic),20.85,No,true,false,false,true,false,true,false,false,false,false,false,false,false,1327.4,0,27.28
7481-ATQQS,Female,49,Month-to-month,Credit card (automatic),90.85,Fiber optic,true,true,true,false,false,true,true,false,false,true,false,false,true,4515.85,1,57.25
5215-LNLDJ,Female,7,Month-to-month,Electronic check,24.7,DSL,true,false,false,true,true,false,false,false,false,false,false,false,false,149.05,1,56.39
4636-JGAAI,Male,34,Month-to-month,Mailed check,88.85,Fiber optic,false,false,false,true,false,true,true,false,true,false,false,false,true,3000.25,1,57.25
5278-PNYOX,Female,49,Two year,Credit card (automatic),100.65,Fiber optic,false,false,false,false,false,true,false,false,false,true,true,true,true,4917.75,0,37.12
7611-YKYTC,Male,22,Month-to-month,Bank transfer (automatic),75,Fiber optic,false,false,false,true,true,true,false,true,false,false,false,false,false,1573.95,1,57.83
3606-SBKRY,Male,31,One year,Electronic check,50.05,DSL,true,false,false,false,false,false,false,false,false,true,false,true,true,1523.4,0,38.57
7853-WNZSY,Male,1,Month-to-month,Credit card (automatic),19.75,No,true,false,false,false,false,true,false,false,false,false,false,false,false,19.75,1,55.56
6178-KFNHS,Female,12,Month-to-month,Electronic check,78.3,Fiber optic,true,true,false,false,true,true,true,true,false,false,false,false,false,909.25,1,65.06
4860-IJUDE,Male,13,Month-to-month,Credit card (automatic),73.75,Fiber optic,true,false,false,false,false,true,false,true,false,false,false,false,false,956.65,1,64.37
6728-WYQBC,Male,1,Month-to-month,Bank transfer (automatic),20.95,No,false,false,false,false,false,true,false,false,false,false,false,false,false,20.95,1,57.11
7216-KAOID,Male,41,One year,Bank transfer (automatic),19.5,No,false,false,false,true,true,true,false,false,false,false,false,false,false,798.2,0,27.28
4329-YPDDQ,Male,20,Month-to-month,Bank transfer (automatic),108.2,Fiber optic,true,false,false,false,false,true,false,true,true,true,true,true,true,2203.7,1,57.83
0599-XNYDO,Female,20,Month-to-month,Bank transfer (automatic),69.8,Fiber optic,true,false,false,true,false,true,false,false,false,false,false,false,false,1540.35,1,57.99
6377-WHAOX,Female,60,Month-to-month,Electronic check,106.15,Fiber optic,true,false,false,true,false,true,true,false,true,true,false,true,true,6411.25,1,59.95
8755-IWJHN,Male,69,Month-to-month,Bank transfer (automatic),95.35,Fiber optic,true,false,true,true,false,true,true,false,true,true,false,false,true,6382,1,55.19
0929-PECLO,Female,63,Month-to-month,Bank transfer (automatic),89.6,Fiber optic,true,false,true,false,false,true,true,false,false,true,false,false,true,5538.8,1,55.19
3540-RZJYU,Female,15,Month-to-month,Electronic check,86.2,Fiber optic,false,true,false,false,false,true,false,true,false,false,false,true,false,1270.2,1,65.06
0883-EIBTI,Female,2,Month-to-month,Mailed check,19.5,No,false,true,false,false,false,true,false,false,false,false,false,false,false,31.55,0,45.88
3393-FMZPV,Female,25,Month-to-month,Electronic check,100.25,Fiber optic,true,true,false,false,false,true,true,false,true,false,false,true,true,2387.75,1,62.24
8979-CAMGB,Male,64,One year,Electronic check,102.1,Fiber optic,false,false,true,false,false,true,true,false,false,true,true,true,true,6688.1,0,48.53
4274-OWWYO,Male,1,Month-to-month,Electronic check,74.35,Fiber optic,true,true,false,false,false,true,false,false,true,false,false,false,false,74.35,1,70.99
2778-OCLGR,Male,24,Month-to-month,Bank transfer (automatic),39.1,DSL,false,true,true,true,false,false,false,true,false,false,false,false,true,971.3,0,43.79
3892-NXAZG,Male,72,Two year,Credit card (automatic),114.05,Fiber optic,true,false,false,true,true,true,true,true,true,true,true,true,true,8289.2,0,25.05
8727-JQFHV,Male,57,Two year,Mailed check,20.75,No,false,false,false,true,true,true,false,false,false,false,false,false,false,1123.15,0,20.66
2320-YKQBO,Female,7,Month-to-month,Mailed check,19.3,No,false,false,false,false,false,true,false,false,false,false,false,false,false,144.95,0,42.36
4994-OBRSZ,Male,14,Two year,Bank transfer (automatic),76.1,DSL,false,false,false,false,true,true,false,true,true,true,true,false,true,1054.8,0,29.99
2436-QBZFP,Female,22,Month-to-month,Electronic check,39.2,DSL,false,false,false,true,true,false,false,false,true,false,false,true,false,849.9,0,45.49
4584-LBNMK,Male,45,One year,Credit card (automatic),24.7,No,false,false,true,true,false,true,true,false,false,false,false,false,false,1174.35,0,29.1
1237-WIYYZ,Female,18,Month-to-month,Mailed check,19.55,No,true,false,false,false,false,true,false,false,false,false,false,false,false,389.25,0,41.28
4822-LPTYJ,Male,72,Two year,Bank transfer (automatic),103.75,Fiber optic,true,false,false,true,false,true,true,false,true,true,false,true,true,7346.2,0,25.5
3557-HTYWR,Female,47,Two year,Mailed check,74.05,DSL,false,false,false,false,false,true,true,true,true,false,true,false,true,3496.3,0,21.01
8920-NAVAY,Male,62,One year,Bank transfer (automatic),110.75,Fiber optic,true,false,true,false,false,true,true,false,true,true,true,true,true,7053.35,0,43.69
0708-SJDIS,Female,34,Month-to-month,Mailed check,65,DSL,false,false,false,false,false,true,true,false,false,false,true,true,false,2157.5,0,41.6
6928-ONTRW,Female,72,Two year,Credit card (automatic),19.7,No,false,false,false,true,true,true,false,false,false,false,false,false,false,1379.8,0,20.66
0254-FNMCI,Female,72,Two year,Electronic check,109.9,Fiber optic,true,false,false,false,false,true,false,true,true,true,true,true,true,7624.2,0,28.25
5590-YRFJT,Female,20,Month-to-month,Electronic check,24.45,DSL,true,true,false,true,false,false,false,false,false,false,false,false,false,482.8,0,45.1
0603-TPMIB,Female,59,Two year,Mailed check,25.45,No,false,false,false,true,true,true,true,false,false,false,false,false,false,1534.05,0,20.66
5862-BRIXZ,Male,46,Two year,Bank transfer (automatic),60.75,DSL,true,false,false,false,false,false,false,true,false,true,true,true,true,2893.4,0,21.01
4676-WLUHT,Male,54,Two year,Bank transfer (automatic),46.2,DSL,false,false,false,false,false,false,false,true,true,false,false,false,true,2431.95,0,21.01
4872-VXRIL,Male,56,One year,Bank transfer (automatic),64.65,DSL,true,false,false,false,false,true,true,true,true,false,true,false,false,3665.55,0,27.7
6537-QLGEX,Female,16,Month-to-month,Electronic check,38.9,DSL,true,false,false,false,false,false,false,true,false,false,false,true,false,664.4,1,52.18
2235-EZAIK,Female,72,Two year,Credit card (automatic),79.2,DSL,false,false,false,true,false,true,true,true,true,true,true,true,false,5401.9,0,21.01
1574-DYCWE,Female,51,Two year,Mailed check,19.95,No,false,false,false,true,true,true,false,false,false,false,false,false,false,1028.75,0,20.66
3724-UCSHY,Male,6,Month-to-month,Mailed check,19.55,No,false,false,false,true,true,true,false,false,false,false,false,false,false,122.9,0,45.07
2208-UGTGR,Male,56,Month-to-month,Electronic check,98.6,Fiber optic,false,false,false,false,false,true,true,false,true,false,false,true,true,5581.05,1,59.95
7278-CKDNC,Male,24,Month-to-month,Electronic check,80.5,Fiber optic,true,false,true,false,false,true,true,false,true,false,false,false,false,2088.45,1,62.24
4223-WOZCM,Male,2,Month-to-month,Mailed check,49.95,DSL,false,false,true,false,false,true,false,false,false,true,false,false,false,107.1,1,60.2
7030-FZTFM,Male,72,Two year,Credit card (automatic),110.9,Fiber optic,false,false,false,true,true,true,true,false,true,true,true,true,true,7922.75,0,25.17
8620-RJPZN,Female,1,Month-to-month,Electronic check,20.7,No,false,false,false,false,false,true,false,false,false,false,false,false,false,20.7,1,55.92
2642-MAWLJ,Female,36,Two year,Bank transfer (automatic),20.25,No,false,false,false,true,true,true,false,false,false,false,false,false,false,717.95,0,20.66
3066-RRJIO,Female,1,Month-to-month,Mailed check,69.95,Fiber optic,true,true,false,false,false,true,false,false,false,false,false,false,false,69.95,1,70.69
2542-HYGIQ,Female,1,Month-to-month,Credit card (automatic),19.95,No,false,false,false,false,false,true,false,false,false,false,false,false,false,19.95,1,55.56
9135-HSWOC,Male,64,Two year,Bank transfer (automatic),19.7,No,true,false,false,true,true,true,false,false,false,false,false,false,false,1274.05,0,20.66
8582-KRHPJ,Male,50,Month-to-month,Mailed check,35,DSL,true,false,false,false,false,false,false,true,true,false,false,false,false,1782.4,0,41.6
7729-XBTWX,Male,66,Two year,Mailed check,19.75,No,true,false,false,true,true,true,false,false,false,false,false,false,false,1344.5,0,20.66
2187-LZGPL,Female,7,Month-to-month,Credit card (automatic),40.1,DSL,true,true,false,false,false,false,false,false,true,false,false,false,true,293.3,1,54.89
3244-CQPHU,Female,72,Two year,Bank transfer (automatic),110.1,Fiber optic,true,false,true,false,false,true,true,true,true,false,true,true,true,7746.7,0,25.37
9708-HPXWZ,Male,5,Month-to-month,Credit card (automatic),45.4,DSL,false,false,true,false,false,false,false,false,false,true,true,true,false,214.75,1,59.92
8212-CRQXP,Female,22,Month-to-month,Credit card (automatic),80,Fiber optic,true,false,false,true,false,true,false,false,false,false,false,true,false,1706.45,1,57.99
1088-CNNKB,Male,63,One year,Credit card (automatic),80,DSL,false,false,false,true,false,true,true,true,true,true,true,false,true,5040.2,0,37.44
1930-BZLHI,Male,21,One year,Mailed check,20.35,No,true,false,false,false,false,true,false,false,false,false,false,false,false,422.7,0,27.34
0848-ZGQIJ,Female,16,Month-to-month,Bank transfer (automatic),94.65,Fiber optic,true,false,false,true,false,true,false,false,true,false,false,true,true,1461.15,1,64.53
3621-CHYVB,Female,57,Month-to-month,Bank transfer (automatic),49.9,DSL,true,false,false,true,false,false,false,true,false,true,true,false,true,2782.4,0,41.6
9950-MTGYX,Male,28,Two year,Credit card (automatic),20.3,No,true,false,false,true,true,true,false,false,false,false,false,false,false,487.95,0,20.66
8606-OEGQZ,Female,18,Two year,Credit card (automatic),25.3,No,false,false,false,false,true,true,true,false,false,false,false,false,false,454.65,0,21.06
4702-IOQDC,Female,1,Month-to-month,Electronic check,70.1,Fiber optic,true,true,false,false,false,true,false,false,false,false,false,false,false,70.1,1,70.99
0575-CUQOV,Male,60,One year,Electronic check,97.95,Fiber optic,true,false,true,true,false,true,false,false,true,true,false,true,true,5867,0,48.53
5360-LJCNJ,Female,71,Two year,Bank transfer (automatic),105.15,Fiber optic,true,false,false,true,false,true,true,false,true,true,false,true,true,7555,0,35.19
9029-FEGVJ,Female,32,Month-to-month,Mailed check,79.3,Fiber optic,false,false,true,true,false,true,true,false,false,true,false,false,false,2570,1,57.25
4877-EVATK,Male,1,Month-to-month,Mailed check,20,No,false,true,false,false,false,true,false,false,false,false,false,false,false,20,1,55.56
3181-MIZBN,Male,16,Month-to-month,Electronic check,19.75,No,false,false,false,true,true,true,false,false,false,false,false,false,false,313.4,0,42.73
3007-FDPEA,Female,2,Month-to-month,Bank transfer (automatic),20.7,No,true,false,false,false,false,true,false,false,false,false,false,false,false,39.85,0,45.88
5172-RKOCB,Male,72,Two year,Credit card (automatic),108.95,Fiber optic,true,false,false,true,false,true,true,true,true,false,true,true,true,7875,0,25.37
1791-PQHBB,Female,2,Month-to-month,Credit card (automatic),61.2,DSL,true,false,false,false,true,true,false,true,false,false,false,false,true,125.95,1,60.04
8741-LQOBK,Female,46,Month-to-month,Bank transfer (automatic),35.05,DSL,false,false,false,true,true,false,false,true,true,false,false,false,false,1620.25,0,41.6
4106-HADHQ,Male,39,One year,Credit card (automatic),80,DSL,false,true,false,true,true,true,false,true,false,true,true,true,true,3182.95,0,37.44
0723-FDLAY,Male,44,One year,Bank transfer (automatic),85.25,DSL,true,false,false,false,false,true,true,false,true,true,true,true,true,3704.15,0,37.44
9298-WGMRW,Female,72,Two year,Bank transfer (automatic),115.5,Fiber optic,true,false,false,true,false,true,true,true,true,true,true,true,true,8312.75,0,25.05
3088-LHEFH,Female,11,Month-to-month,Bank transfer (automatic),79,Fiber optic,true,false,false,false,false,true,true,true,false,false,false,false,false,929.3,1,64.37
8544-JNBOX,Male,72,Two year,Mailed check,20.8,No,true,false,false,false,false,true,false,false,false,false,false,false,false,1521.2,0,20.66
6749-UTDVX,Male,72,Two year,Electronic check,103.65,Fiber optic,true,false,false,false,false,true,true,false,true,true,false,true,true,7634.8,0,28.39
1112-CUNAO,Female,15,Month-to-month,Electronic check,89.85,Fiber optic,false,true,true,false,false,true,true,false,true,false,false,false,true,1424.95,1,65.9
8348-JLBUG,Male,64,One year,Credit card (automatic),80.3,Fiber optic,false,false,true,true,false,true,false,true,false,true,false,false,false,5017.7,0,33.04
0607-DAAHE,Male,53,Two year,Bank transfer (automatic),19.75,No,false,true,false,false,true,true,false,false,false,false,false,false,false,1052.35,0,20.66
0902-XKXPN,Male,69,Two year,Bank transfer (automatic),20.2,No,false,false,false,true,true,true,false,false,false,false,false,false,false,1376.5,0,20.66
5380-AFSSK,Female,5,Month-to-month,Mailed check,93.9,Fiber optic,true,true,false,false,false,true,true,false,false,false,false,true,true,486.85,1,69.28
2055-PDADH,Female,3,Month-to-month,Electronic check,70.4,Fiber optic,true,true,true,false,false,true,false,false,false,false,false,false,false,204.7,1,69.84
1337-BOZWO,Male,18,One year,Credit card (automatic),46.4,DSL,false,false,false,true,true,false,false,false,true,true,false,true,false,812.4,0,31.96
8404-VIOMB,Female,66,Two year,Bank transfer (automatic),62.5,DSL,true,false,false,false,false,false,false,true,true,true,true,true,true,4136.4,0,21.01
9184-GALIL,Female,38,Month-to-month,Mailed check,20.45,No,false,false,false,true,true,true,false,false,false,false,false,false,false,781.25,0,41.09
8993-PHFWD,Female,3,Month-to-month,Electronic check,25.25,DSL,false,true,false,false,false,false,false,false,false,false,false,false,false,58.9,1,61.74
3765-JXVKY,Female,1,Month-to-month,Electronic check,74.7,Fiber optic,true,true,false,false,false,true,false,false,true,false,false,false,false,74.7,1,70.99
5092-STPKP,Female,24,Month-to-month,Credit card (automatic),56.35,DSL,false,false,false,false,false,true,false,true,false,false,true,false,false,1381.2,0,41.6
0114-PEGZZ,Female,33,Month-to-month,Electronic check,107.55,Fiber optic,false,false,false,false,false,true,true,false,true,true,false,true,true,3645.5,1,61.94
3957-LXOLK,Female,28,Month-to-month,Electronic check,106.15,Fiber optic,true,true,true,false,false,true,true,false,true,true,false,true,true,3152.5,1,62.24
3420-YJLQT,Female,2,Month-to-month,Electronic check,79.55,Fiber optic,false,false,false,false,false,true,true,false,true,false,false,false,false,151.75,1,69.84
6075-QMNRR,Female,52,Month-to-month,Bank transfer (automatic),49.75,DSL,true,false,false,false,false,true,false,true,false,false,false,false,false,2535.55,0,41.6
8180-AKMJV,Female,1,Month-to-month,Credit card (automatic),44.55,DSL,true,false,false,false,false,true,false,false,false,false,false,false,false,44.55,1,61.4
2272-WUSPA,Female,72,Two year,Electronic check,110.75,Fiber optic,true,false,false,true,false,true,true,true,true,true,false,true,true,7751.7,0,28.25
9593-CVZKR,Female,56,Two year,Mailed check,24.45,No,true,false,false,true,true,true,true,false,false,false,false,false,false,1385.85,0,20.66
2434-EEVDB,Female,64,Two year,Credit card (automatic),94.6,Fiber optic,true,false,false,true,false,true,true,true,false,true,false,true,false,5948.7,0,37.18
